,car,location,delay,price,ARAI Mileage,Engine Displacement (cc),Max Torque (nm@rpm),Seating Capacity,Boot Space (Litres),Body Type,Fuel Type,Max Power (bhp@rpm),TransmissionType,Fuel Tank Capacity,Service Cost (Avg. of 5 years),City Mileage
79,Ertiga,Noida,56 days,"8,54,619",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
80,Ertiga,Hyderabad,49 days,"8,81,828",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
81,Ertiga,Delhi,42 days,"8,50,531",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
82,Ertiga,Lucknow,35 days,"8,58,472",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
83,Ertiga,Ahmedabad,30 days,"8,42,708",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
84,Ertiga,Chandigarh,28 days,"8,43,292",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
85,Ertiga,Chennai,28 days,"8,74,435",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
86,Ertiga,Jaipur,28 days,"8,82,158",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
87,Ertiga,Mumbai,28 days,"8,82,572",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
88,Ertiga,Kolkata,21 days,"8,44,075",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
89,Ertiga,Pune,15 days,"8,82,025",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
90,Ertiga,Patna,119 days,"8,73,791",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0
91,Ignis,Hyderabad,45 days,"5,91,363",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl
92,Ignis,Mumbai,42 days,"5,67,805",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl
93,Ignis,Chennai,30 days,"5,67,862",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl
94,Ignis,Delhi,30 days,"5,39,920",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl
95,Ignis,Gurugram,30 days,"5,44,365",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl
